Año,NUMERO DE EXPEDIENTE,No. de oficio,Fecha de oficio,Area,Infractor,Tipo de infractor,Clave del infractor,Cve. conducta infractora,Conducta infractora,Disposiciones infringidas,Preceptos sancionadores,Fecha de comisión de la irregularidad,Tipo de sanción,Monto
2011,,06-367-III-2.2/75539,18/02/2011,VICEPRESIDENCIA DE OPERACIÓN INSTITUCIONAL,"SEGUROS ATLAS, S.A.",S,23,11-0031,,Art. 102,"Art. 139, fracción XXI",31/12/2008,Multa,13988.94
2011,,06-367-III-2.2/75539,18/02/2011,VICEPRESIDENCIA DE OPERACIÓN INSTITUCIONAL,"SEGUROS ATLAS, S.A.",S,23,14-0003,,Art. 27,"Art. 139, fracción XXI",31/12/2007,Multa,83197.38
2011,,06-367-III-2.2/75539,18/02/2011,VICEPRESIDENCIA DE OPERACIÓN INSTITUCIONAL,"SEGUROS ATLAS, S.A.",S,23,14BIS-0042,,Artículo 37,"Artículo 139, Fracción XXI",01/04/2008,Multa,10960
2011,,06-367-III-2.2/75539,18/02/2011,VICEPRESIDENCIA DE OPERACIÓN INSTITUCIONAL,"SEGUROS ATLAS, S.A.",S,23,33-0103,,Libre,Artículo 139,31/12/2008,Multa,0
2011,,06-367-III-2.2/75539,18/02/2011,VICEPRESIDENCIA DE OPERACIÓN INSTITUCIONAL,"SEGUROS ATLAS, S.A.",S,23,33-0111,,Libre,Artículo 139,30/07/2009,Multa,10960
2011,,06-367-III-2.2/75539,18/02/2011,VICEPRESIDENCIA DE OPERACIÓN INSTITUCIONAL,"SEGUROS ATLAS, S.A.",S,23,8-0091,,Art. 107 y Circulares u Oficios Circulares,"Art. 139, fracc. XXI",01/01/2008,Multa,117696.42
2008,,06-367-III-1.2/74419,17/12/2008,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"NOVAMEDIC SEGUROS DE SALUD, S.A. DE C.V.",H,708,F08-CIF0063,Incorrecta presentación de información financiera,67,111 Fracción XXI,20/05/2008,Multa,15145.92
2008,,06-367-III-1.2/74419,17/12/2008,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"NOVAMEDIC SEGUROS DE SALUD, S.A. DE C.V.",H,708,F09-CIH0030,Desapego al Cátalogo de Cuentas.,101,139 Fracción  XVI,31/12/2007,Multa,63971.05
2008,,06-367-III-1.2/74419,17/12/2008,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"NOVAMEDIC SEGUROS DE SALUD, S.A. DE C.V.",H,708,F11-CIH0031,Registro contable equivocado,102,139 Fracción XXI,31/12/2007,Multa,76664.12
2008,,06-367-III-2.1/06145,29/05/2008,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"ASEGURADORA PATRIMONIAL DAÑOS, S.A.",S,100,F08-CIS0090,Incorrecta presentación de informacion financiera ,107,139 Fracción XXI,12/02/2008,Amonestación,0
2010,,06-367-III-2.1/16151,31/05/2010,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"AIG MÉXICO, SEGUROS INTERAMERICANA, S.A. DE C.V.",S,12,F08-CIH0026,Incorrecta presentacion de Estados Financieros,105,139 Fracción XVII,28/12/2007,Multa,277938.15
2011,,06-367-III-2.2/14170,08/12/2011,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"METLIFE MÁS, S.A. DE C.V.",S,58,F06-CIS0034,Entrega de Estados Financieros fuera del plazo establecido,105,139 Fracción XVII,02/03/2005,Multa,0
2012,,06-367-III-2.2/16043,23/03/2012,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"PRIMERO SEGUROS, S.A. DE C.V.",S,107,F24-CIS0103,Deficiencias de Cotrol ,102,"139, Frcción XXI ",31/12/2009,Multa,144178.8
2006,,06-367-III-2.2/72080,15/09/2006,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"CESCE México, S.A. de C.V.",S,96,F33-CIOR0001,Confirmaciones Extemporáneas ,28 y Reglas,139 Fracción XXI ,31/12/2004,Multa,9360
2006,,06-367-III-2.2/72080,15/09/2006,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"CESCE México, S.A. de C.V.",S,96,F33-CIOR0003,Otras irregularidades,28 y Reglas ,139 Fracción XXI ,31/05/2005,Multa,9360
2006,,06-367-III-2.2/72080,15/09/2006,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"CESCE México, S.A. de C.V.",S,96,F09-CIS0030,Desapego al Cátalogo de Cuentas.,101,139 Fracción  XVI,31/12/2004,Multa,13572
2006,,06-367-III-2.2/72080,15/09/2006,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"CESCE México, S.A. de C.V.",S,96,F11-CIS0031,Registro contable equivocado,102,139 Fracción XXI,31/12/2004,Multa,97537.44
2006,,06-367-III-2.2/72080,15/09/2006,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"CESCE México, S.A. de C.V.",S,96,F14 Bis-CIS0042,Pago de prima a los reaseguradores participantes fuera del plazo,"37 Párrafo Cuarto, inciso a)",139 Fracción  XXI,31/12/2004,Multa,135900.96
2006,,06-367-III-2.2/72080,15/09/2006,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"CESCE México, S.A. de C.V.",S,96,F08-CIS0090,Incorrecta presentación de informacion financiera ,107,139 Fracción XXI,27/01/2005,Multa,22885.2
2006,,06-367-III-2.2/72080,15/09/2006,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"CESCE México, S.A. de C.V.",S,96,F24-CIS0103,Deficiencias de Cotrol ,102,"139, Frcción XXI ",31/12/2004,Multa,49583.04
2006,,06-367-III-2.2/72170,27/09/2006,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"EULER HERMES SEGURO DE CRÉDITO, S.A.",S,64,F33-CIOR0001,Confirmaciones Extemporáneas ,28 y Reglas,139 Fracción XXI ,31/12/2005,Multa,9360
2006,,06-367-III-2.2/72170,27/09/2006,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"EULER HERMES SEGURO DE CRÉDITO, S.A.",S,64,F18-CIS0012,Exceder Límites de Retención,37 y 62-VII,139 Fracción VI  Inciso a),31/12/2005,Multa,27692
2006,,06-367-III-2.2/72170,27/09/2006,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"EULER HERMES SEGURO DE CRÉDITO, S.A.",S,64,F10-CIS0033,Registro Contable Extemporáneo.,104,139 Fracción XV ,31/12/2005,Multa,38634.96
2006,,06-367-III-2.2/72170,27/09/2006,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"EULER HERMES SEGURO DE CRÉDITO, S.A.",S,64,F14 Bis-CIS0042,Pago de prima a los reaseguradores participantes fuera del plazo,"37 Párrafo Cuarto, inciso a)",139 Fracción  XXI,31/12/2005,Multa,9048
2006,,06-367-III-2.2/72170,27/09/2006,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"EULER HERMES SEGURO DE CRÉDITO, S.A.",S,64,F49-CIS0094,No integrar el Comite de Comunicación y Control conforme a lo previsto en las disposiciones y/o la designación del oficial de cumplimiento recaiga en un funcionario dependiente de las unidades de negocio de la institución que funja como auditor interno. ,140,140 Décimo Párrafo,31/12/2005,Multa,144541.8
2006,,06-367-III-2.2/72187,13/11/2006,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"ASEGURADORA INSURGENTES, S.A. DE C.V., GRUPO FINANCIERO ASERTA",F,13,F22-CIF0007,No apegarse a las Reglas de Garantías de Fianzas de Crédito.,39,111 Fracción XVI,31/12/2003,Multa,81494.55
2006,,06-367-III-2.2/72187,13/11/2006,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"ASEGURADORA INSURGENTES, S.A. DE C.V., GRUPO FINANCIERO ASERTA",F,13,F11-CIF0014,Registro contable equivocado.,63,111 Fracción XXI,31/12/2003,Multa,37277.1
2006,,06-367-III-2.2/72187,13/11/2006,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"ASEGURADORA INSURGENTES, S.A. DE C.V., GRUPO FINANCIERO ASERTA",F,13,F09-CIF0015,Desapego al Catálogo de Cuentas.,64,111 Fracción XVIII,31/12/2003,Multa,23352.75
2006,,06-367-III-2.2/72187,13/11/2006,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"ASEGURADORA INSURGENTES, S.A. DE C.V., GRUPO FINANCIERO ASERTA",F,13,F11 Bis-CIF0025,Omisión en el registro contable.,63,111 Fracción XXI,31/12/2003,Multa,82280.25
2006,,06-367-III-2.2/72187,13/11/2006,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"ASEGURADORA INSURGENTES, S.A. DE C.V., GRUPO FINANCIERO ASERTA",F,13,F38-CIF0037,Colocación extemporánea de reafianzamiento facultativo ,33 Segundo Párrafo,111 Fracción XXI,31/12/2003,Multa,8730
2006,,06-367-III-2.2/72187,13/11/2006,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"ASEGURADORA INSURGENTES, S.A. DE C.V., GRUPO FINANCIERO ASERTA",F,13,F08-CIF0063,Incorrecta presentación de información financiera,67,111 Fracción XXI,04/02/2004,Multa,22484.28
2006,,06-367-III-2.2/72187,13/11/2006,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"ASEGURADORA INSURGENTES, S.A. DE C.V., GRUPO FINANCIERO ASERTA",F,13,F14 BIS-CIF0067,Pago de prima a los reaseguradores participantes  fuera del plazo ,32,111 Fracción  XXI,31/12/2003,Multa,8730
2006,,06-367-III-2.2/72187,13/11/2006,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"ASEGURADORA INSURGENTES, S.A. DE C.V., GRUPO FINANCIERO ASERTA",F,13,F24-CIF0080,Deficiencias de Control,62,"111, Fracción XXI ",31/12/2003,Multa,63117.9
2006,,06-367-III-2.2/72265,04/10/2006,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"LA LATINOAMERICANA SEGUROS, S.A.",S,13,F33-CIS0043,Realizar operaciones no permitidas o realizar las permitidas en términos distintos a lo previsto en la Ley ,62,139 Fracción  XXI,31/12/2004,Multa,9048
2006,,06-367-III-2.2/72448,21/11/2006,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"QUÁLITAS, COMPAÑÍA DE SEGUROS, S.A. DE C.V.",S,46,F09-CIS0030,Desapego al Cátalogo de Cuentas.,101,139 Fracción  XVI,31/12/2004,Amonestación,0
2006,,06-367-III-2.2/72448,21/11/2006,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"QUÁLITAS, COMPAÑÍA DE SEGUROS, S.A. DE C.V.",S,46,F10-CIS0033,Registro Contable Extemporáneo.,104,139 Fracción XV ,31/12/2004,Multa,45285.24
2006,,06-367-III-2.2/72448,21/11/2006,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"QUÁLITAS, COMPAÑÍA DE SEGUROS, S.A. DE C.V.",S,46,F33-CIS0041,Violaciones a las  Reglas para la Inversión de las Reservas Técnicas ,58,139 Fracción XXI,31/12/2004,Multa,9048
2006,,06-367-III-2.2/72448,21/11/2006,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"QUÁLITAS, COMPAÑÍA DE SEGUROS, S.A. DE C.V.",S,46,F08-CIS0090,Incorrecta presentación de informacion financiera ,107,139 Fracción XXI,31/12/2004,Multa,27686.88
2006,,06-367-III-2.2/72448,21/11/2006,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"QUÁLITAS, COMPAÑÍA DE SEGUROS, S.A. DE C.V.",S,46,F24-CIS0103,Deficiencias de Cotrol ,102,"139, Frcción XXI ",31/12/2004,Multa,10631.4
2006,,06-367-III-2.2/72472,12/12/2006,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"GRUPO MEXICANO DE SEGUROS, S.A. DE C.V.",S,92,F24-CIS0103,Deficiencias de Cotrol ,102,"139, Frcción XXI ",31/12/2004,Multa,78446.16
2006,,06-367-III-2.2/72475,13/12/2006,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"BUPA México, Compañía de Seguros, S.A. de C.V.",S,65,F10-CIS0033,Registro Contable Extemporáneo.,104,139 Fracción XV ,31/12/2005,Multa,16005.6
2006,,06-367-III-2.2/72475,13/12/2006,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"BUPA México, Compañía de Seguros, S.A. de C.V.",S,65,F24-CIS0103,Deficiencias de Cotrol ,102,"139, Frcción XXI ",31/12/2005,Multa,18766.8
2007,,06-367-III-2.2/73097,28/02/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"ATRADIUS SEGUROS DE CRÉDITO, S.A.",S,7,11-0031,,Art. 102,"Art. 139, fracción XXI",31/12/2005,Multa,9360
2007,,06-367-III-2.2/73113,02/03/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"CHUBB SEGUROS MÉXICO, S.A.",S,39,F09-CIS0030,Desapego al Cátalogo de Cuentas.,101,139 Fracción  XVI,31/12/2004,Multa,117352.56
2007,,06-367-III-2.2/73113,02/03/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"CHUBB SEGUROS MÉXICO, S.A.",S,39,F18-CIS0012,Exceder Límites de Retención,37 y 62-VII,139 Fracción VI  Inciso a),31/12/2004,Multa,948163
2007,,06-367-III-2.2/73117,26/02/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"Seguros Azteca, S.A. de C.V.",S,98,F04-CIS0015,Desviación en la constitución de la reserva de riesgos en curso de instituciones de seguros,46-I y 47,139 Fracción XXI,31/12/2005,Amonestación,0
2007,,06-367-III-2.2/73117,26/02/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"Seguros Azteca, S.A. de C.V.",S,98,F24-CIS0103,Deficiencias de Cotrol ,102,"139, Frcción XXI ",31/12/2005,Multa,73616.4
2007,,06-367-III-2.2/73163,14/03/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"Seguros de Vida Sura México, S.A. de C.V.",S,95,24-0103,,Artículo 102 Circular S-17.1,"Artículo 139, Fracción XXI",28/02/2006,Multa,101136.26
2007,,06-367-III-2.2/73163,14/03/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"Seguros de Vida Sura México, S.A. de C.V.",S,95,4-0015,,"Arts. 46, 47, 50, 51 y 52 bis","Art. 139, fracción XXI",31/12/2005,Multa,9360
2007,,06-367-III-2.2/73167,28/03/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"FIANZAS ASECAM, S.A.",F,20,F09-CIF0015,Desapego al Catálogo de Cuentas.,64,111 Fracción XVIII,31/12/2004,Multa,18186.48
2007,,06-367-III-2.2/73168,30/03/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"ASEGURADORA PATRIMONIAL VIDA, S.A.",S,69,F24-CIS0103,Deficiencias de Cotrol ,102,"139, Frcción XXI ",31/12/2004,Amonestación,0
2007,,06-367-III-2.2/73168,30/03/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"ASEGURADORA PATRIMONIAL VIDA, S.A.",S,69,F07-CIS0109,No entrega en el plazo establecido de otra información ,"29 fracciones VII Bis, VII Bis-1, VII Bis-2, VII Bis-3, VII Bis-4, 31, 32",139 FRACCIÓN XXI,11/04/2005,Multa,9360
2007,,06-367-III-2.2/73237,07/05/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"ZURICH SANTANDER SEGUROS MÉXICO, S.A.",S,18,F09-CIS0030,Desapego al Cátalogo de Cuentas.,101,139 Fracción  XVI,30/12/2005,Multa,19375.2
2007,,06-367-III-2.2/73237,07/05/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"ZURICH SANTANDER SEGUROS MÉXICO, S.A.",S,18,F08-CIS0090,Incorrecta presentación de informacion financiera ,107,139 Fracción XXI,30/12/2005,Multa,28082.59
2007,,06-367-III-2.2/73237,07/05/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"ZURICH SANTANDER SEGUROS MÉXICO, S.A.",S,18,F24-CIS0103,Deficiencias de Cotrol ,102,"139, Frcción XXI ",30/12/2005,Multa,9360
2007,,06-367-III-2.2/73239,20/08/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"ASEGURADORA PATRIMONIAL DAÑOS, S.A.",S,100,F07-CIS0087,No entrega de información de reaseguro en el plazo establecido,107,139  Fracción  XVIII ,15/01/2005,Multa,52369.2
2007,,06-367-III-2.2/73239,20/08/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"ASEGURADORA PATRIMONIAL DAÑOS, S.A.",S,100,F09-CIS0030,Desapego al Cátalogo de Cuentas.,101,139 Fracción  XVI,31/12/2005,Multa,72820.8
2007,,06-367-III-2.2/73239,20/08/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"ASEGURADORA PATRIMONIAL DAÑOS, S.A.",S,100,F14 Bis-CIS0042,Pago de prima a los reaseguradores participantes fuera del plazo,"37 Párrafo Cuarto, inciso a)",139 Fracción  XXI,15/01/2005,Multa,111430.8
2007,,06-367-III-2.2/73239,20/08/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"ASEGURADORA PATRIMONIAL DAÑOS, S.A.",S,100,F24-CIS0103,Deficiencias de Cotrol ,102,"139, Frcción XXI ",31/12/2005,Multa,44366.4
2007,,06-367-III-2.2/73239,20/08/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"ASEGURADORA PATRIMONIAL DAÑOS, S.A.",S,100,F33-CIS0013,No  contar con las confirmaciones formales de los reaseguradores,37,139 Fracción XXI,15/01/2006,Multa,55435.13
2007,,06-367-III-2.2/73239,20/08/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"ASEGURADORA PATRIMONIAL DAÑOS, S.A.",S,100,F33-CIS0110, Contrato de Adhesión no Registrado ante esta Comisión. ,41,139 Fracción XXI ,31/12/2005,Multa,9360
2007,,06-367-III-2.2/73245,25/04/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"GRUPO NACIONAL PROVINCIAL, S.A.B.",S,43,F48-CIS0050,Por no adoptar las medidas para que la información y documentación contenida en los expedientes se mantenga actualizada,140 Cuarta y Décima de las disposiciones a que se refiere el artículo.,140 Décimo Párrafo,29/07/2005,,0
2007,,06-367-III-2.2/73261,30/05/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"CESCE México, S.A. de C.V.",S,96,14-N/A,,Art. 27,"Art. 139, fracción XXI",31/12/2005,Multa,99824.4
2007,,06-367-III-2.2/73265,28/05/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"A.N.A. COMPAÑÍA DE SEGUROS, S.A. DE C.V.",S,89,F09-CIS0030,Desapego al Cátalogo de Cuentas.,101,139 Fracción  XVI,30/12/2005,Multa,36316.8
2007,,06-367-III-2.2/73265,28/05/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"A.N.A. COMPAÑÍA DE SEGUROS, S.A. DE C.V.",S,89,F08-CIS0090,Incorrecta presentación de informacion financiera ,107,139 Fracción XXI,27/01/2006,Multa,19662.68
2007,,06-367-III-2.2/73282,26/09/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"COFACE SEGURO DE CRÉDITO MÉXICO, S.A. DE C.V.",S,102,F24-CIS0103,Deficiencias de Cotrol ,102,"139, Frcción XXI ",31/05/2006,Multa,80840.87
2007,,06-367-III-2.2/73282,19/10/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"COFACE Seguro de Crédito México, S.A. de C.V.",S,102,F25-CIS0011,Uso de documentación contractual no registrada.,36 B,139 Fracción XIII ,31/05/2006,Multa,66921.25
