ID_OPERACION,PID_OPERACION,DESC_OPERACION,ORDER,FILTRO,CVE_OPERACION,CVE_RAMO,CVE_SUBRAMO
1,0,Total,1,( CVE_OPERACION!=00 & CVE_RAMO==00 ),0,0,0
2,1,*Vida,2,(CVE_OPERACION==1000 & CVE_SUBRAMO !=0 ),1000,0,0
3,2,***Vida Individual,3,(CVE_OPERACION==1000 & CVE_RAMO==11 ),1000,10,11
4,2,***Vida Grupo y Colectivo,4,"(CVE_OPERACION==1000 & CVE_RAMO in (12, 13) )",1000,10,1000
5,4,***Vida Grupo,5,(CVE_OPERACION==1000 & CVE_RAMO ==12 ),1000,10,12
6,4,***Vida Colectivo,6,(CVE_OPERACION==1000 & CVE_RAMO ==13 ),1000,10,13
7,1,*Pensiones,7,(CVE_OPERACION==2000  & CVE_SUBRAMO !=0 ),2000,0,0
8,7,**IMSS,8,"(CVE_OPERACION==2000 & CVE_SUBRAMO in (21, 22, 23, 24, 25) )",2000,0,1000
9,8,***IMSS Incapacidad Permanente RT,9,(CVE_OPERACION==2000 & CVE_RAMO==21 ),2000,20,21
10,8,***IMSS Muerte (riesgos de trabajo),10,(CVE_OPERACION==2000 & CVE_RAMO==22 ),2000,20,22
11,8,***IMSS Invalidez (invalidez y vida),11,(CVE_OPERACION==2000 & CVE_RAMO==23 ),2000,20,23
12,8,***IMSS Muerte (invalidez y vida),12,(CVE_OPERACION==2000 & CVE_RAMO==24 ),2000,20,24
13,8,"***IMSS Jubilación (retiro, cesantía y vejez)",13,(CVE_OPERACION==2000 & CVE_RAMO==25 ),2000,20,25
14,7,**ISSSTE,14,"(CVE_OPERACION==2000 & CVE_SUBRAMO in (201, 202, 203, 204, 205) )",2000,0,1000
15,14,***ISSSTE Incapacidad Permanente RT,15,(CVE_OPERACION==2000 & CVE_RAMO==201 ),2000,20,201
16,14,***ISSSTE Muerte (riesgos de trabajo),16,(CVE_OPERACION==2000 & CVE_RAMO==202 ),2000,20,202
17,14,***ISSSTE Invalidez (invalidez y vida),17,(CVE_OPERACION==2000 & CVE_RAMO==203 ),2000,20,203
18,14,***ISSSTE Muerte (invalidez y vida),18,(CVE_OPERACION==2000 & CVE_RAMO==204 ),2000,20,204
19,14,"***ISSSTE Jubilación (retiro, cesantía y vejez)",19,(CVE_OPERACION==2000 & CVE_RAMO==205 ),2000,20,205
20,1,*Accidentes y Enfermedades,20,(CVE_OPERACION==3000  & CVE_SUBRAMO !=0 ),3000,0,0
21,20,***Accidentes Personales,21,(CVE_OPERACION==3000  & CVE_SUBRAMO ==331 ),3000,30,331
26,20,***Gastos Médicos,26,(CVE_OPERACION==3000  & CVE_SUBRAMO ==332),3000,30,332
31,20,***Salud,31,(CVE_OPERACION==3000  & CVE_SUBRAMO ==333 ),3000,30,333
36,1,*Daños,36,(CVE_OPERACION==4000  & CVE_RAMO!=0 & CVE_SUBRAMO==0 ),4000,0,0
38,36,**Responsabilidad Civil y Riesgos Profesionales,38,(CVE_OPERACION==4000  & CVE_RAMO==40 & CVE_SUBRAMO!=0 ),4000,40,0
39,38,***General,39,(CVE_OPERACION==4000  & CVE_RAMO==40 & CVE_SUBRAMO==41 ),4000,40,41
40,38,***Aviones y Barcos,40,(CVE_OPERACION==4000  & CVE_RAMO==40 & CVE_SUBRAMO==42 ),4000,40,42
41,38,***Viajero,41,(CVE_OPERACION==4000  & CVE_RAMO==40 & CVE_SUBRAMO==43 ),4000,40,43
42,38,***Otros,42,(CVE_OPERACION==4000  & CVE_RAMO==40 & CVE_SUBRAMO==44 ),4000,40,44
43,36,**Marítimo y Transportes,43,(CVE_OPERACION==4000  & CVE_RAMO==50 & CVE_SUBRAMO!=0 ),4000,50,0
44,43,***Carga,44,(CVE_OPERACION==4000  & CVE_RAMO==50 & CVE_SUBRAMO==51 ),4000,50,51
45,43,***Cascos,45,(CVE_OPERACION==4000  & CVE_RAMO==50 & CVE_SUBRAMO==52 ),4000,50,52
46,36,**Incendio,46,(CVE_OPERACION==4000  & CVE_RAMO==60 & CVE_SUBRAMO==0 ),4000,60,0
47,36,**Riesgos Catastróficos,47,(CVE_OPERACION==4000  & CVE_RAMO==70 & CVE_SUBRAMO!=0 ),4000,70,0
48,47,***Terremoto y Erupción Volcánica,48,(CVE_OPERACION==4000  & CVE_RAMO==70 & CVE_SUBRAMO==71 ),4000,70,71
49,47,***Huracán y Otros Riesgos Hidrometeorológicos,49,(CVE_OPERACION==4000  & CVE_RAMO==70 & CVE_SUBRAMO==73 ),4000,70,73
50,47,***Otros,50,(CVE_OPERACION==4000  & CVE_RAMO==70 & CVE_SUBRAMO==75 ),4000,70,75
51,36,**Agrícola y de animales,51,(CVE_OPERACION==4000  & CVE_RAMO==80 & CVE_SUBRAMO!=0 ),4000,80,0
52,51,***Agrícola,52,(CVE_OPERACION==4000  & CVE_RAMO==80 & CVE_SUBRAMO==81 ),4000,80,81
53,51,***Pecuario,53,(CVE_OPERACION==4000  & CVE_RAMO==80 & CVE_SUBRAMO==82 ),4000,80,82
54,51,***Otros,54,(CVE_OPERACION==4000  & CVE_RAMO==80 & CVE_SUBRAMO==83 ),4000,80,83
66,36,**Automóviles,66,(CVE_OPERACION==4000  & CVE_RAMO==90 & CVE_SUBRAMO!=0 ),4000,90,0
67,66,***Automóviles Residentes,67,(CVE_OPERACION==4000  & CVE_RAMO==90 & CVE_SUBRAMO==91 ),4000,90,91
68,66,***Camiones,68,(CVE_OPERACION==4000  & CVE_RAMO==90 & CVE_SUBRAMO==92 ),4000,90,92
69,66,***Automóviles Turistas,69,(CVE_OPERACION==4000  & CVE_RAMO==90 & CVE_SUBRAMO==93 ),4000,90,93
70,66,***Otros,70,(CVE_OPERACION==4000  & CVE_RAMO==90 & CVE_SUBRAMO==94 ),4000,90,94
71,66,***Obligatorios,71,(CVE_OPERACION==4000  & CVE_RAMO==90 & CVE_SUBRAMO==95 ),4000,90,95
55,36,**Crédito,55,(CVE_OPERACION==4000  & CVE_RAMO==100 & CVE_SUBRAMO==0 ),4000,100,0
56,36,**Crédito a la vivienda,56,(CVE_OPERACION==4000  & CVE_RAMO==103 & CVE_SUBRAMO==0 ),4000,103,0
57,36,**Garantía financiera,57,(CVE_OPERACION==4000  & CVE_RAMO==106 & CVE_SUBRAMO==0 ),4000,106,0
58,36,**Diversos,58,(CVE_OPERACION==4000  & CVE_RAMO==110 & CVE_SUBRAMO!=0 ),4000,110,0
59,58,***Misceláneos,59,(CVE_OPERACION==4000  & CVE_RAMO==110 & CVE_SUBRAMO==111 ),4000,110,111
60,58,***Técnicos,60,(CVE_OPERACION==4000  & CVE_RAMO==110 & CVE_SUBRAMO==112 ),4000,110,112
61,36,**Reafianzamiento,61,(CVE_OPERACION==4000  & CVE_RAMO==130 & CVE_SUBRAMO!=0 ),4000,130,0
62,61,***Fidelidad,62,(CVE_OPERACION==4000  & CVE_RAMO==130 & CVE_SUBRAMO==131 ),4000,130,131
